,Source,Target
2961, i80 | Group,Lighter Capital
2962, National Australia Bank (NAB),Lighter Capital
2963, Voyager Capital,Lighter Capital
2971,Meta,Reliance Jio
2986,Francisco Partners,K2
2987, TA Associates,K2
2988, Thoma Bravo,K2
2989, FTV Capital,K2
2990, Azure Capital Partners,K2
2991,Mason Ng,Liquid 2 Ventures
2992,SAP,LinkedIn
2997,Digital Currency Group,Protocol Labs
3010,Agricultural Bank of China,HNA Group
3011, Industrial and Commercial Bank of China,HNA Group
3012, China Construction Bank,HNA Group
3013, China CITIC Bank,HNA Group
3014, Bank of Communications,HNA Group
3020,FundersClub,Paragon
3025,Earlybird Venture Capital,Payhawk
3031,BC Partners,IMA Group
3033,Bossa Nova Investimentos,Hack VC
3036,National Black Bank Foundation,Major League Soccer
3040,500 Startups,Innovaccer
3049,500 Startups,Revolution
3050, K2 Global,Revolution
3057,Tencent,Hike
3067,HV Capital,IONIQ
3068, TEV Ventures,IONIQ
3069, OPIC - Overseas Private Investment Corporation,IONIQ
3070, Holtzbrinck Digital,IONIQ
3071, Heiko Hubertz,IONIQ
3072,SuRo Capital,NewLake Capital Partners
3074,October,JCDecaux
3080,GoBeyond,Kae Capital
3108,Accel,Renren
3109, Legend Capital,Renren
3110, General Atlantic,Renren
3111, TCV,Renren
3112, SoftBank Capital,Renren
3114,Ornstein-Schuler Investments,National Black Bank Foundation
3125,Stripe,Fast
3130,Berkshire Hathaway,Apple
3131, Sequoia Capital,Apple
3132, Microsoft,Apple
3133, Matrix Partners,Apple
3134, Venrock,Apple
3145,Silver Lake,Genies
3150,Snow K.,Coinbase
3151, Digital Currency Group,Coinbase
3152, Blockchain Capital,Coinbase
3153, Andreessen Horowitz,Coinbase
3154, Polychain,Coinbase
3155,Ubisoft,Animoca Brands
3156, Mirae Asset Global Investments,Animoca Brands
3157, 500 Startups,Animoca Brands
3158, IDG Capital,Animoca Brands
3159, Atari,Animoca Brands
3160,Zomato,blinkit
3165,Andreessen Horowitz,AngelList
3166, 500 Startups,AngelList
3167, GV,AngelList
3168, Tiger Global Management,AngelList
3169, Slow Ventures,AngelList
3170,Francisco Partners,Digital Currency Group
3171, Mastercard,Digital Currency Group
3172, RRE Ventures,Digital Currency Group
3173, SoftBank Vision Fund,Digital Currency Group
3174, OMERS Ventures,Digital Currency Group
3175,Lenovo,CertiK
3189,SoftBank,Bambee
3204,Mogo,Gemini
3205, ParaFi Capital,Gemini
3206, Marcy Venture Partners,Gemini
3207, Pantera Capital,Gemini
3208, Winklevoss Capital,Gemini
3218,SoftBank,Eight Sleep
3223,Community Investment Management,Camino Financial
3228,Tiger Global Management,Amber Group
3229, Polychain,Amber Group
3230, Paradigm,Amber Group
3231, Temasek Holdings,Amber Group
3232, Coinbase Ventures,Amber Group
3243,Tencent,Flipkart
3244, Axis Bank,Flipkart
3245, Flipkart,Flipkart
3246, Microsoft,Flipkart
3247, Morgan Stanley,Flipkart
3258,Arca,Galaxy Digital
3259, XN,Galaxy Digital
3260, Senator Investment Group,Galaxy Digital
3261, Mike Novogratz,Galaxy Digital
3262, Nz Funds,Galaxy Digital
3278,Liquidity,eToro
3283,Abu Dhabi Investment Authority,Citi
3284, ValueAct Capital,Citi
3295,Comcast,Blockdaemon
3305,Endeavor,2TM
3306, MercadoLibre,2TM
3307, Tribe Capital,2TM
3308, TC - TradersClub,2TM
3309, Sand Hill Angels,2TM
3310,Pershing Square Capital Management,Berkshire Hathaway
3311,Tencent,Epic Games
3321,Crowdcube,Crowdcube
3322, Circle,Crowdcube
3323, Draper Associates,Crowdcube
3324, Molten Ventures,Crowdcube
3325, Balderton Capital,Crowdcube
3331,American Rescue Plan,Comcast
3332, Trian Fund Management,Comcast
3343,Aavishkaar Venture Capital,Financepeer
3348,Sequoia Capital,Google
3349, Yahoo,Google
3350, Kleiner Perkins,Google
3351, Ram Shriram,Google
3352, Shaquille O'Neal,Google
3358,Broslyn Capital,DFINITY
3359, Andreessen Horowitz,DFINITY
3360, Polychain,DFINITY
3361, IOSG Ventures,DFINITY
3362, CoinFund,DFINITY
3368,8VC,Airbyte
3373,Clearco,Cart.com
3378,OfBusiness,FarMart
3387,Swicorp,Endeavor
3410,Rakuten,Careem
3411, Daimler,Careem
3412, Coatue,Careem
3413, Didi,Careem
3414, Wamda Capital,Careem
3420,500 Startups,GitLab
3439,Tencent,Airwallex
3449,Digital Currency Group,CoinList
3479,Silver Lake,Fanatics
3489,CARB-X,GlaxoSmithKline
3490,8VC,Forethought
3495,SoftBank,Darktrace
3520,Microsoft,DocuSign
3547,Google,Cloudflare
3552,Galaxy Digital,Ava Labs
3572,2TM,Figment
3577,Tally Capital,Blockchain Capital
3578, Chloe Sladden,Blockchain Capital
3579,8VC,Clearco
3580, SoftBank Vision Fund,Clearco
3581, Founders Fund,Clearco
3582, Oak HC/FT,Clearco
3583, Arcadia Group,Clearco
3584,Crowdcube,FIDEL API
3594,Orange,Deezer
3609,American Family Ventures,gener8tor
3610, CSA Partners LLC,gener8tor
3611,Eurazeo,Avi Medical
3616,Boost VC,21Shares
3621,Zoom,Genesys
3627,Aavishkaar Venture Capital,AgroStar
3657,Niantic,DigiLens
3667,Citi,Capitolis
3672,Endeavor,Dolado
3687,Delivery Hero,Foodpanda
3692,Silver Lake,Clari
3702,Techstars,Alloy
3722,Silver Lake,GoDaddy
3731,Lyft,Argo AI
3734,Youth Business International,Accenture
3735,Techstars,DigitalOcean
3750,500 Startups,CircleCI
3770,Moglix,Euler Motors
3775,Andreessen Horowitz,BlockTower Capital
3776, Union Square Ventures,BlockTower Capital
3777, Blue Collective,BlockTower Capital
3788,500 Startups,FinAccel
3803,Sedgwick Claims Management Services,EvolutionIQ
3813,Tencent,CICC
3814, TPG,CICC
3815,K2,Fyllo
3834,Tencent,Afterpay
3837,Wintermute Trading,Bitpanda
3842,500 Startups,Goldbelly
3847,LetsVenture,BluSmart Mobility
3862,H.I.G. Capital,Cuyana
3866,Blockchain Capital,Aave
3881,Rakuten,Azimo
3936,SoftBank,Fair
3941,FundersClub,Go1
3983,AngelList,Chingari
3996,Visa,ChargeAfter
4002,Twilio,Algolia
4007,Shopify,Flexport
4022,ArcTern Ventures,Emitwise
4032,JCDecaux,Eurazeo
4033,BDC Venture Capital,Garage Capital
4034, Venture Capital Catalyst Initiative (VCCI),Garage Capital
4035,SoftBank,ada
4037,Adobe,Demandbase
4042,500 Startups,BillionToOne
4052,Digital Currency Group,BitPay
4057,NewSpring,ExecOnline
4067,Animoca Brands,Community Gaming
4077,500 Startups,Blavity
4087,Navi Technologies,Bounce
4124,FMO,Aavishkaar Venture Capital
4125, Triodos Investment Management,Aavishkaar Venture Capital
4126, Shell Foundation,Aavishkaar Venture Capital
4127,Splunk,Aclima
4137,Rakuten,Carousell
4147,Eurazeo,Dataiku
4170,BlockTower Capital,Enjin
4181,9Yards Capital,8VC
4182,Sequoia Capital,DoorDash
4183, FundersClub,DoorDash
4184, Y Combinator,DoorDash
4185, Fidelity,DoorDash
4186, SoftBank Vision Fund,DoorDash
4187,Digital Currency Group,Figure
4202,Digital Currency Group,Abra
4212,Roche,Freenome
4231,Northern Arc,Aye Finance
4236,Animoca Brands,bitsCrunch
4261,SoftBank,Bear Robotics
4266,8VC,Affinity
4298,Berkshire Hathaway,Aon plc
4309,Techstars,Dapio
4324,8VC,Evernow
4332,Silver Lake,Foursquare
4351,Rocket Internet,Goodlord
4356,500 Startups,Funding Societies
4396,Techstars,ClassPass
4416,GirnarSoft,CollegeDekho
4426,Techstars,EnrichHER
4431,Wavemaker Partners,500 Startups
4432, MI Ventures,500 Startups
4433, Abu Dhabi Financial Group,500 Startups
4434, Mason Ng,500 Startups
4435, David Schellhase,500 Startups
4441,Techstars,Gig Wage
4446,gener8tor,Fiveable
4461,Global Ventures,Altibbi
4466,Huobi,Boba Network
4481,Apple,Corning
4493,Tencent,Blockstream
4498,Nazara Technologies,BITKRAFT Ventures
4499,Animoca Brands,ConsenSys
4509,Techstars,Arweave
4519,Citi,Advantage Capital
4525,Coinbase,Dfns
4535,Garage Capital,Astranis
4560,SoftBank,Clip
4565,HNA Group,Deutsche Bank
4573,DFINITY,Functionland
4583,Techstars,Arena.im
4588,EquityZen,Adaptive Biotechnologies
4626,Latitud,Datanomik
4651,Team8,Cyberpion
4659,8VC,BlueVoyant
4664,Earlybird Venture Capital,Carto
4679,SeedInvest,Firefly Aerospace
4689,Microsoft,DNAnexus
4708,Google,Glance
4730,Sequoia Capital,ByteDance
4731, Morgan Stanley,ByteDance
4732, Goldman Sachs,ByteDance
4733, Tiger Global Management,ByteDance
4734, SoftBank Vision Fund,ByteDance
4735,Golub Capital,E2open
4736,Microsoft,Cruise
4741,NewLake Capital Partners,Columbia Care
4748,General Catalyst,CRED
4749, Hillhouse Capital Group,CRED
4750, Insight Partners,CRED
4751, Tiger Global Management,CRED
4752, Coatue,CRED
4766,SAP,Alchemist Accelerator
4767, Juniper Networks,Alchemist Accelerator
4768, Siemens,Alchemist Accelerator
4769, Khosla Ventures,Alchemist Accelerator
4770, Threshold,Alchemist Accelerator
4793,Silver Lake,AMC Theatres
4794, Mudrick Capital Management,AMC Theatres
4796,Tencent,Farfetch
4797, Eurazeo,Farfetch
4798, IDG Capital,Farfetch
4799, Alibaba Group,Farfetch
4800, Headline,Farfetch
4801,Andreessen Horowitz,FundersClub
4802, Spark Capital,FundersClub
4803, General Catalyst,FundersClub
4804, FundersClub,FundersClub
4805, Y Combinator,FundersClub
4818,Tencent,Didi
4838,Hillhouse Capital Group,Delivery Hero
4839, Insight Partners,Delivery Hero
4840, Rocket Internet,Delivery Hero
4841, General Atlantic,Delivery Hero
4842, Altos Ventures,Delivery Hero
4845,SoftBank,Alibaba Group
4846, Silver Lake,Alibaba Group
4847, Goldman Sachs,Alibaba Group
4848, Tiger Global Management,Alibaba Group
4849, Temasek Holdings,Alibaba Group
4850,Baillie Gifford,Gojo & Company
4851, Credit Saison,Gojo & Company
4852, SBI Investment,Gojo & Company
4853, SBI Group,Gojo & Company
4854, ANRI,Gojo & Company
4855,Ares Management,BC Partners
4856, Blackstone Group,BC Partners
4859,Slack,Electric
4864,IONIQ,finleap
4869,Barclays,Anthemis Group
4870, Pivot Investment Partners,Anthemis Group
4871, SquareOne Capital Corp.,Anthemis Group
4872, Migdal Insurance and Financial Holdings,Anthemis Group
4877,Naver,Emtek Group
4894,Sequoia Capital,Cisco
4895,Galaxy Digital,Argo Blockchain
4896,Sequoia Capital,GirnarSoft
4897, Hillhouse Capital Group,GirnarSoft
4898, CapitalG,GirnarSoft
4899, Trifecta Capital Advisors,GirnarSoft
4900, Tybourne Capital Management,GirnarSoft
4902,American Axle & Manufacturing,Autotech Ventures
4910,CRED,CredAvenue
4916,Ripple,Coil
4917, Stefan Thomas,Coil
4918,Mubadala,Evotec
4919, Novo Holdings,Evotec
4920, Gilde Healthcare,Evotec
4921, 3i Group,Evotec
4922, Omega Funds,Evotec
4923,Apple,Adobe
4933,RRE Ventures,Arca
4934, Arca,Arca
4935, Littlebanc Advisors LLC.,Arca
4936, Alex Tisch,Arca
4944,October,Engie
4951,Digital Currency Group,Blockchain.com
4956,Innovative Startups and SMEâ€™s Fund (ISSF),Global Ventures
4957,US Department of Energy,American Axle & Manufacturing
4958, American Securities,American Axle & Manufacturing
4964,IDG Capital,Bitmain
4965, Coatue,Bitmain
4966, Temasek Holdings,Bitmain
4967, Sequoia Capital China,Bitmain
4968, EDBI,Bitmain
4984,GoBeyond,GoBeyond
4985, Penny Schiffer,GoBeyond
4986, Ritesh Punjabi,GoBeyond
4997,Delavaco Capital,Aphria
5006,Ground Squirrel Ventures,Community Investment Management
5007,OSINOVA,Bossa Nova Investimentos
5015,Aviva Investors,Founders Factory
5016, GMG Ventures,Founders Factory
5017,Molten Ventures,Earlybird Venture Capital
5019,500 Startups,EquityZen
5020, Draper Associates,EquityZen
5021, Kima Ventures,EquityZen
5022, CRCM Ventures,EquityZen
5023, Amino Capital,EquityZen
5024,Bitmain,DoraHacks
